Name,OBJECTID,COLOR_2,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other,geodataEGI,Pop_dens,Pop_chng,HH_chng,AveHHsize
Edmondson Village,69,3,3940.0,30.0,3832.0,6.0,2.0,0,4.0,66.0,32.0,1712.0,2228.0,272.0,298.0,185.0,179.0,464.0,475.0,404.0,1043.0,620.0,1044.0,334.0,89.0,100.0,33.0,610.0,274.0,1666.0,1493.0,943.0,550.0,173.0,64.0,19.0,90.0,0.18583065,21202.0994404,-524.0,-89.0,2.63697004
Ednor Gardens-Lakeside,70,2,5185.0,802.0,4153.0,10.0,93.0,0,25.0,102.0,70.0,2284.0,2901.0,290.0,363.0,159.0,167.0,375.0,699.0,683.0,1464.0,985.0,1244.0,646.0,188.0,95.0,39.0,503.0,181.0,2410.0,2261.0,1604.0,657.0,149.0,72.0,29.0,48.0,0.51069282,10152.8741069,117.0,333.0,2.27775001
Ellwood Park/Monument,71,5,3580.0,415.0,2647.0,44.0,72.0,7,276.0,119.0,501.0,1738.0,1842.0,323.0,416.0,163.0,180.0,486.0,601.0,435.0,795.0,181.0,789.0,217.0,77.0,94.0,46.0,478.0,261.0,1363.0,1047.0,365.0,682.0,316.0,175.0,26.0,115.0,0.13944485,25673.2306233,74.0,-31.0,3.41929006
Evergreen,72,1,382.0,348.0,9.0,2.0,9.0,0,0.0,14.0,9.0,182.0,200.0,26.0,41.0,3.0,8.0,12.0,53.0,77.0,126.0,36.0,98.0,76.0,38.0,6.0,1.0,16.0,9.0,216.0,185.0,128.0,57.0,31.0,10.0,7.0,14.0,0.0575549,6637.14009299,-25.0,-22.0,2.04324007
Evergreen Lawn,73,4,1132.0,10.0,1082.0,2.0,3.0,0,8.0,27.0,19.0,523.0,609.0,72.0,88.0,39.0,59.0,114.0,115.0,130.0,345.0,170.0,273.0,102.0,35.0,36.0,8.0,135.0,51.0,441.0,399.0,283.0,116.0,42.0,8.0,3.0,31.0,0.0534031,21197.2687424,-91.0,-47.0,2.83709001
Fairfield Area,74,3,159.0,105.0,43.0,0.0,1.0,0,7.0,3.0,19.0,72.0,87.0,13.0,16.0,4.0,1.0,11.0,30.0,24.0,46.0,14.0,32.0,13.0,5.0,2.0,1.0,17.0,13.0,100.0,69.0,9.0,60.0,31.0,17.0,5.0,9.0,2.4042995,66.13152802,-60.0,0.0,2.30434989
Fairmont,75,1,347.0,10.0,322.0,7.0,1.0,0,3.0,4.0,2.0,166.0,181.0,21.0,22.0,4.0,11.0,32.0,29.0,42.0,101.0,85.0,82.0,40.0,5.0,11.0,3.0,31.0,7.0,164.0,143.0,104.0,39.0,21.0,8.0,5.0,8.0,0.16566149,2094.63279645,-37.0,-20.0,2.42656993
Fallstaff,76,1,4219.0,1575.0,2031.0,23.0,102.0,25,382.0,81.0,589.0,1958.0,2261.0,343.0,331.0,140.0,176.0,431.0,607.0,494.0,1109.0,588.0,965.0,525.0,225.0,123.0,39.0,317.0,160.0,1935.0,1789.0,649.0,1140.0,146.0,108.0,13.0,25.0,0.2955371,14275.7031028,312.0,96.0,2.3543899
Federal Hill,77,4,2600.0,2315.0,132.0,5.0,86.0,0,13.0,49.0,79.0,1349.0,1251.0,123.0,71.0,9.0,19.0,358.0,933.0,345.0,537.0,205.0,424.0,366.0,102.0,23.0,9.0,35.0,16.0,1554.0,1395.0,670.0,725.0,159.0,83.0,27.0,49.0,0.14891493,17459.6324902,198.0,101.0,1.83369004
Fells Point,78,3,3976.0,3074.0,349.0,19.0,208.0,6,195.0,125.0,444.0,2141.0,1835.0,119.0,66.0,16.0,29.0,377.0,1467.0,621.0,937.0,344.0,620.0,475.0,92.0,62.0,17.0,83.0,29.0,2807.0,2246.0,681.0,1565.0,561.0,293.0,55.0,213.0,0.28805982,13802.6883426,924.0,542.0,1.67808997
Forest Park,79,5,1560.0,25.0,1504.0,8.0,1.0,0,5.0,17.0,35.0,681.0,879.0,96.0,102.0,45.0,64.0,177.0,169.0,180.0,500.0,227.0,367.0,137.0,38.0,46.0,21.0,184.0,59.0,933.0,667.0,275.0,392.0,266.0,54.0,6.0,206.0,0.15508019,10059.3117376,-147.0,-40.0,2.33882999
Forest Park Golf Course,80,4,392.0,11.0,376.0,0.0,0.0,0,2.0,3.0,9.0,185.0,207.0,34.0,36.0,9.0,14.0,45.0,35.0,45.0,103.0,71.0,93.0,34.0,9.0,18.0,7.0,41.0,15.0,136.0,126.0,105.0,21.0,10.0,1.0,1.0,8.0,0.10300755,3805.54626503,61.0,0.0,3.11110997
Frankford,81,4,17694.0,2092.0,14595.0,67.0,400.0,4,115.0,421.0,362.0,8056.0,9638.0,1383.0,1708.0,654.0,748.0,2180.0,2672.0,2269.0,4617.0,1463.0,4175.0,1761.0,679.0,432.0,211.0,1982.0,1191.0,7894.0,7137.0,2970.0,4167.0,757.0,430.0,106.0,221.0,2.12482169,8327.28694902,902.0,31.0,2.44359993
Franklin Square,82,1,2967.0,98.0,2728.0,22.0,11.0,0,62.0,46.0,108.0,1432.0,1535.0,249.0,275.0,103.0,118.0,324.0,369.0,351.0,859.0,319.0,649.0,144.0,39.0,84.0,38.0,421.0,207.0,1861.0,1172.0,296.0,876.0,689.0,168.0,23.0,498.0,0.17211564,17238.4092852,-585.0,-220.0,2.5
Franklintown,83,1,1282.0,88.0,1170.0,4.0,1.0,0,9.0,10.0,28.0,559.0,723.0,120.0,155.0,59.0,60.0,164.0,212.0,159.0,287.0,66.0,316.0,102.0,44.0,32.0,17.0,182.0,117.0,546.0,500.0,107.0,393.0,46.0,28.0,2.0,16.0,0.59535569,2153.3345669,-132.0,-60.0,2.54999995
Franklintown Road,84,1,1940.0,5.0,1885.0,5.0,8.0,0,6.0,31.0,31.0,909.0,1031.0,136.0,157.0,71.0,98.0,210.0,218.0,183.0,553.0,314.0,425.0,117.0,33.0,55.0,19.0,253.0,110.0,962.0,793.0,338.0,455.0,169.0,59.0,33.0,77.0,0.12289767,15785.4894218,-425.0,-173.0,2.44640994
Garwyn Oaks,85,1,1132.0,19.0,1100.0,0.0,1.0,0,0.0,12.0,6.0,520.0,612.0,71.0,107.0,37.0,46.0,126.0,120.0,142.0,330.0,153.0,247.0,107.0,27.0,22.0,11.0,118.0,49.0,673.0,404.0,196.0,208.0,269.0,18.0,13.0,238.0,0.13135706,8617.7321378,-442.0,-169.0,2.76237988
Gay Street,86,5,1998.0,21.0,1943.0,0.0,13.0,0,3.0,18.0,16.0,775.0,1223.0,227.0,288.0,104.0,90.0,229.0,262.0,171.0,359.0,268.0,441.0,70.0,33.0,25.0,9.0,346.0,240.0,927.0,800.0,83.0,717.0,127.0,50.0,5.0,72.0,0.10959025,18231.5479262,-80.0,-19.0,2.47749996
Glen,87,2,7876.0,2949.0,4624.0,16.0,72.0,6,92.0,117.0,154.0,3605.0,4271.0,511.0,693.0,293.0,322.0,703.0,797.0,767.0,2103.0,1687.0,1822.0,1055.0,404.0,160.0,63.0,607.0,227.0,3630.0,3381.0,1641.0,1740.0,249.0,107.0,42.0,100.0,0.74724458,10540.0563738,-235.0,-51.0,2.36824011
Glen Oaks,88,2,2887.0,212.0,2558.0,11.0,37.0,4,11.0,54.0,55.0,1282.0,1605.0,202.0,284.0,117.0,125.0,405.0,397.0,357.0,785.0,215.0,735.0,287.0,124.0,82.0,36.0,366.0,195.0,1300.0,1171.0,538.0,633.0,129.0,82.0,15.0,32.0,0.26925678,10722.1069082,-45.0,-30.0,2.46540999
Glenham-Belhar,89,3,6175.0,2314.0,3573.0,31.0,59.0,1,43.0,154.0,124.0,2805.0,3370.0,390.0,543.0,242.0,304.0,554.0,855.0,860.0,1725.0,702.0,1476.0,775.0,326.0,138.0,67.0,563.0,305.0,2674.0,2422.0,1715.0,707.0,252.0,84.0,56.0,112.0,0.74944236,8239.45946394,86.0,-38.0,2.4913299
Graceland Park,90,2,2011.0,1444.0,224.0,39.0,71.0,0,162.0,71.0,410.0,997.0,1014.0,137.0,157.0,45.0,55.0,205.0,312.0,215.0,562.0,323.0,465.0,296.0,93.0,52.0,14.0,117.0,51.0,830.0,741.0,551.0,190.0,89.0,31.0,24.0,34.0,0.31253865,6434.40411715,292.0,35.0,2.69095993
Greektown,91,5,3678.0,2401.0,251.0,41.0,56.0,11,777.0,141.0,1293.0,1925.0,1753.0,289.0,281.0,124.0,86.0,346.0,844.0,454.0,777.0,477.0,827.0,508.0,199.0,115.0,41.0,204.0,99.0,1510.0,1309.0,664.0,645.0,201.0,98.0,38.0,65.0,0.22444475,16387.1060852,384.0,-5.0,2.80977988
Greenmount Cemetery,92,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1068963,0.0,0.0,0.0,0.0
Greenmount West,93,5,1339.0,331.0,960.0,5.0,20.0,0,2.0,21.0,14.0,697.0,642.0,83.0,86.0,35.0,30.0,215.0,289.0,164.0,342.0,95.0,241.0,72.0,23.0,37.0,10.0,132.0,68.0,854.0,570.0,135.0,435.0,284.0,102.0,16.0,166.0,0.10012821,13372.8536277,144.0,90.0,2.31052994
Greenspring,94,3,3436.0,22.0,3357.0,5.0,7.0,1,3.0,41.0,17.0,1512.0,1924.0,338.0,347.0,152.0,173.0,400.0,445.0,360.0,799.0,422.0,856.0,235.0,72.0,94.0,43.0,527.0,281.0,1513.0,1187.0,576.0,611.0,326.0,130.0,56.0,140.0,0.1738566,19763.414123,-562.0,-165.0,2.8761599
Grove Park,95,5,1934.0,21.0,1859.0,10.0,4.0,0,5.0,35.0,19.0,832.0,1102.0,126.0,129.0,76.0,83.0,201.0,218.0,197.0,517.0,387.0,489.0,192.0,54.0,53.0,21.0,244.0,124.0,945.0,871.0,406.0,465.0,74.0,38.0,5.0,31.0,0.34330437,5633.48493242,-239.0,63.0,2.21929001
Guilford,96,4,2214.0,1810.0,221.0,2.0,100.0,3,16.0,62.0,70.0,1099.0,1115.0,132.0,218.0,80.0,79.0,139.0,134.0,327.0,775.0,330.0,610.0,552.0,232.0,13.0,6.0,45.0,20.0,941.0,876.0,791.0,85.0,65.0,7.0,7.0,51.0,0.55272714,4005.59300369,116.0,65.0,2.52740001
Gwynns Falls,97,5,1184.0,641.0,479.0,9.0,3.0,0,12.0,40.0,51.0,593.0,591.0,85.0,116.0,47.0,58.0,117.0,167.0,166.0,327.0,101.0,285.0,137.0,52.0,49.0,22.0,99.0,47.0,511.0,439.0,244.0,195.0,72.0,19.0,8.0,45.0,0.17874824,6623.84126819,1.0,-28.0,2.69704008
Gwynns Falls/Leakin Park,98,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74538332,0.0,0.0,0.0,0.0
Hampden,99,5,6963.0,6208.0,314.0,18.0,186.0,1,60.0,176.0,221.0,3371.0,3592.0,356.0,304.0,114.0,126.0,640.0,1912.0,1005.0,1566.0,940.0,1417.0,933.0,248.0,170.0,69.0,314.0,131.0,3858.0,3432.0,1913.0,1519.0,426.0,164.0,68.0,194.0,0.61445428,11332.0066295,-499.0,-35.0,2.01980996
Hanlon-Longwood,100,2,2311.0,23.0,2222.0,2.0,2.0,0,18.0,44.0,35.0,1029.0,1282.0,123.0,216.0,89.0,101.0,211.0,290.0,269.0,641.0,371.0,564.0,183.0,53.0,66.0,22.0,315.0,122.0,1133.0,898.0,533.0,365.0,235.0,60.0,25.0,150.0,0.43518338,5310.40493297,-378.0,-148.0,2.57349991
Hamilton Hills,101,1,9752.0,2495.0,6837.0,17.0,94.0,1,89.0,219.0,266.0,4522.0,5230.0,777.0,885.0,324.0,373.0,1091.0,1482.0,1335.0,2670.0,815.0,2427.0,1152.0,421.0,258.0,132.0,1017.0,598.0,4410.0,4054.0,1972.0,2082.0,356.0,198.0,51.0,107.0,1.14193358,8539.90117559,-28.0,-100.0,2.40305995
Harlem Park,102,4,3654.0,43.0,3524.0,7.0,22.0,0,6.0,52.0,29.0,1747.0,1907.0,236.0,287.0,118.0,128.0,400.0,419.0,405.0,1011.0,650.0,715.0,176.0,56.0,112.0,31.0,427.0,220.0,2648.0,1579.0,345.0,1234.0,1069.0,203.0,38.0,828.0,0.31217524,11704.9641194,-1065.0,-320.0,2.25205993
Harwood,103,3,1575.0,324.0,1174.0,5.0,25.0,0,10.0,37.0,44.0,717.0,858.0,117.0,133.0,66.0,59.0,214.0,281.0,230.0,350.0,125.0,331.0,128.0,40.0,34.0,13.0,169.0,83.0,749.0,570.0,303.0,267.0,179.0,62.0,19.0,98.0,0.07093151,22204.5176238,-208.0,1.0,2.75439
Hawkins Point,104,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96445879,0.0,0.0,0.0,0.0
Heritage Crossing,105,2,1029.0,30.0,958.0,2.0,17.0,0,5.0,17.0,25.0,428.0,601.0,102.0,123.0,34.0,45.0,139.0,145.0,128.0,252.0,61.0,254.0,61.0,26.0,27.0,16.0,166.0,104.0,446.0,437.0,156.0,281.0,9.0,5.0,0.0,4.0,0.08518165,12080.0659703,629.0,244.0,2.35469007
Herring Run Park,106,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24079362,0.0,0.0,0.0,0.0
Highlandtown,107,1,2666.0,1779.0,336.0,25.0,36.0,0,396.0,94.0,750.0,1414.0,1252.0,201.0,145.0,67.0,73.0,283.0,664.0,391.0,563.0,279.0,534.0,306.0,112.0,87.0,33.0,141.0,54.0,1315.0,1077.0,637.0,440.0,238.0,85.0,43.0,110.0,0.14210869,18760.2877308,-155.0,-73.0,2.46982002
Hillen,108,5,2344.0,110.0,2178.0,2.0,10.0,0,10.0,34.0,24.0,1085.0,1259.0,146.0,187.0,89.0,91.0,277.0,289.0,260.0,669.0,336.0,584.0,254.0,76.0,62.0,27.0,268.0,111.0,980.0,898.0,679.0,219.0,82.0,39.0,20.0,23.0,0.16870856,13893.781802,-328.0,-84.0,2.61023998
Hoes Heights,109,2,865.0,626.0,145.0,4.0,56.0,2,8.0,24.0,28.0,421.0,444.0,51.0,38.0,16.0,19.0,62.0,185.0,142.0,232.0,120.0,209.0,134.0,48.0,26.0,4.0,49.0,23.0,461.0,428.0,272.0,156.0,33.0,10.0,6.0,17.0,0.07752859,11157.1733356,-69.0,-11.0,2.02102994
Holabird Industrial Park,110,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56413698,0.0,0.0,0.0,0.0
Hollins Market,111,4,1838.0,561.0,1169.0,6.0,39.0,1,21.0,41.0,53.0,947.0,891.0,101.0,130.0,49.0,63.0,205.0,412.0,303.0,474.0,101.0,343.0,128.0,47.0,55.0,11.0,160.0,94.0,1144.0,853.0,220.0,633.0,291.0,86.0,31.0,174.0,0.10695453,17184.872841,-212.0,1.0,2.1547501
Homeland,112,5,3201.0,2782.0,232.0,5.0,116.0,0,18.0,48.0,80.0,1558.0,1643.0,256.0,311.0,101.0,108.0,232.0,230.0,502.0,1028.0,433.0,827.0,742.0,380.0,23.0,14.0,62.0,29.0,1191.0,1143.0,1019.0,124.0,48.0,11.0,15.0,22.0,0.61573724,5198.64609599,113.0,8.0,2.6098001
Hopkins Bayview,113,2,103.0,53.0,32.0,0.0,8.0,0,9.0,1.0,15.0,46.0,57.0,2.0,3.0,1.0,2.0,2.0,17.0,12.0,20.0,44.0,11.0,7.0,1.0,0.0,0.0,4.0,2.0,22.0,20.0,11.0,9.0,2.0,0.0,1.0,1.0,0.41529041,248.0192095,-355.0,-99.0,2.40000009
Howard Park,114,1,5929.0,174.0,5588.0,16.0,19.0,0,36.0,96.0,104.0,2737.0,3192.0,305.0,442.0,224.0,242.0,519.0,609.0,714.0,1799.0,1075.0,1438.0,671.0,185.0,146.0,44.0,621.0,235.0,2578.0,2335.0,1521.0,814.0,243.0,84.0,26.0,133.0,1.05748092,5606.72051356,-189.0,43.0,2.51777005
Hunting Ridge,115,4,1296.0,365.0,882.0,3.0,4.0,1,5.0,36.0,25.0,613.0,683.0,96.0,98.0,45.0,36.0,107.0,146.0,192.0,398.0,178.0,349.0,214.0,85.0,31.0,13.0,104.0,45.0,616.0,563.0,398.0,165.0,53.0,26.0,12.0,15.0,0.26182773,4949.81936793,125.0,46.0,2.30194997
Idlewood,116,4,2676.0,349.0,2228.0,1.0,25.0,1,23.0,49.0,65.0,1200.0,1476.0,173.0,256.0,114.0,129.0,253.0,401.0,384.0,754.0,212.0,700.0,316.0,146.0,64.0,24.0,320.0,160.0,1144.0,1084.0,848.0,236.0,60.0,15.0,34.0,11.0,0.20800497,12865.0766365,-34.0,4.0,2.46217989
Inner Harbor,117,5,1484.0,1144.0,125.0,2.0,158.0,0,22.0,33.0,81.0,758.0,726.0,58.0,17.0,1.0,3.0,93.0,460.0,240.0,447.0,165.0,317.0,277.0,45.0,17.0,6.0,23.0,8.0,1443.0,922.0,437.0,485.0,521.0,90.0,246.0,185.0,0.24140182,6147.42658185,843.0,502.0,1.58677005
Irvington,118,1,4167.0,429.0,3593.0,22.0,13.0,1,12.0,97.0,55.0,1863.0,2304.0,308.0,413.0,196.0,205.0,436.0,579.0,478.0,1130.0,422.0,983.0,340.0,126.0,107.0,47.0,536.0,307.0,1740.0,1510.0,713.0,797.0,230.0,82.0,20.0,128.0,0.88885172,4688.07101131,-234.0,-103.0,2.60595989
Johns Hopkins Homewood,119,2,669.0,394.0,28.0,1.0,203.0,1,9.0,33.0,41.0,364.0,305.0,4.0,0.0,0.0,5.0,646.0,8.0,4.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,13.0,9.0,3.0,6.0,4.0,3.0,0.0,1.0,0.25650034,2608.18357943,-1302.0,0.0,2.0
Johnston Square,120,1,1906.0,36.0,1831.0,7.0,3.0,0,11.0,18.0,20.0,867.0,1039.0,112.0,154.0,80.0,87.0,197.0,189.0,200.0,640.0,247.0,452.0,114.0,32.0,49.0,17.0,289.0,103.0,1054.0,793.0,337.0,456.0,261.0,27.0,18.0,216.0,0.17087755,11154.1857041,-821.0,-174.0,2.40352988
Jones Falls Area,121,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28001205,0.0,0.0,0.0,0.0
Jonestown,122,1,1367.0,318.0,918.0,8.0,67.0,0,21.0,35.0,63.0,786.0,581.0,101.0,122.0,28.0,33.0,120.0,302.0,185.0,433.0,43.0,228.0,80.0,37.0,13.0,8.0,135.0,84.0,432.0,381.0,127.0,254.0,51.0,30.0,13.0,8.0,0.13445953,10166.6275177,814.0,308.0,2.50656008
Bayview,123,4,2263.0,1481.0,234.0,7.0,123.0,0,342.0,76.0,519.0,1151.0,1112.0,189.0,133.0,53.0,74.0,221.0,479.0,284.0,522.0,308.0,502.0,285.0,124.0,76.0,31.0,141.0,62.0,1114.0,968.0,520.0,448.0,146.0,60.0,20.0,66.0,0.09341616,24224.9290561,87.0,-75.0,2.32851004
Kenilworth Park,124,5,1206.0,25.0,1167.0,1.0,2.0,0,3.0,8.0,10.0,546.0,660.0,74.0,98.0,37.0,51.0,96.0,130.0,152.0,349.0,219.0,325.0,156.0,38.0,30.0,9.0,139.0,63.0,545.0,494.0,315.0,179.0,51.0,27.0,7.0,17.0,0.14503175,8315.42018599,-176.0,-47.0,2.44129991
Kernewood,125,1,726.0,326.0,354.0,0.0,19.0,0,12.0,15.0,20.0,330.0,396.0,46.0,63.0,35.0,34.0,66.0,76.0,92.0,219.0,95.0,166.0,99.0,52.0,16.0,6.0,51.0,23.0,321.0,256.0,200.0,56.0,65.0,8.0,4.0,53.0,0.07195671,10089.3991804,203.0,45.0,2.75
Keswick,126,5,650.0,553.0,42.0,0.0,39.0,0,0.0,16.0,13.0,294.0,356.0,34.0,44.0,20.0,13.0,22.0,63.0,106.0,212.0,136.0,181.0,151.0,54.0,6.0,3.0,24.0,12.0,322.0,313.0,273.0,40.0,9.0,3.0,1.0,5.0,0.07997295,8127.74761251,26.0,0.0,2.07667994
Kresson,127,5,440.0,201.0,116.0,2.0,13.0,0,97.0,11.0,145.0,247.0,193.0,30.0,36.0,17.0,18.0,54.0,92.0,72.0,97.0,24.0,86.0,31.0,17.0,19.0,4.0,36.0,22.0,191.0,152.0,47.0,105.0,39.0,19.0,4.0,16.0,0.26794341,1642.13775517,43.0,16.0,2.8947401
Lake Evesham,128,2,543.0,427.0,90.0,2.0,5.0,0,3.0,16.0,11.0,275.0,268.0,39.0,47.0,12.0,13.0,80.0,72.0,88.0,142.0,50.0,123.0,87.0,41.0,9.0,4.0,27.0,19.0,253.0,228.0,146.0,82.0,25.0,8.0,10.0,7.0,0.07108995,7638.20983542,60.0,1.0,2.38158011
Lake Walker,129,4,2095.0,1063.0,762.0,3.0,89.0,5,119.0,54.0,183.0,955.0,1140.0,174.0,116.0,40.0,32.0,288.0,393.0,282.0,513.0,257.0,419.0,242.0,108.0,48.0,23.0,129.0,66.0,1190.0,1059.0,424.0,635.0,131.0,96.0,11.0,24.0,0.20295479,10322.495743,10.0,-97.0,1.96977996
Lakeland,130,2,4551.0,1370.0,2509.0,12.0,132.0,3,421.0,104.0,889.0,2289.0,2262.0,403.0,537.0,195.0,216.0,492.0,813.0,590.0,968.0,337.0,1069.0,469.0,217.0,158.0,85.0,442.0,257.0,1739.0,1581.0,736.0,845.0,158.0,85.0,22.0,51.0,0.54808907,8303.39480187,271.0,47.0,2.87792992
Langston Hughes,131,3,1036.0,9.0,1006.0,0.0,0.0,0,8.0,13.0,12.0,492.0,544.0,67.0,115.0,44.0,42.0,111.0,112.0,126.0,290.0,129.0,236.0,76.0,24.0,24.0,13.0,136.0,55.0,435.0,332.0,175.0,157.0,103.0,30.0,9.0,64.0,0.06047174,17131.9684654,-132.0,-48.0,3.12048006
Lauraville,132,4,4151.0,1698.0,2222.0,22.0,52.0,1,47.0,109.0,120.0,1930.0,2221.0,231.0,345.0,159.0,178.0,352.0,559.0,559.0,1241.0,527.0,944.0,562.0,205.0,80.0,34.0,302.0,143.0,1703.0,1549.0,1139.0,410.0,154.0,55.0,28.0,71.0,0.59131377,7019.96163541,-224.0,-78.0,2.58811998
Levindale,133,3,1218.0,180.0,1018.0,5.0,1.0,0,0.0,14.0,10.0,564.0,654.0,39.0,53.0,22.0,34.0,75.0,72.0,87.0,352.0,484.0,197.0,82.0,14.0,20.0,5.0,95.0,41.0,531.0,493.0,182.0,311.0,38.0,31.0,0.0,7.0,0.14782164,8239.65943807,-21.0,-2.0,1.89249002
Liberty Square,134,3,770.0,9.0,740.0,1.0,2.0,0,9.0,9.0,3.0,323.0,447.0,41.0,42.0,15.0,35.0,74.0,88.0,91.0,214.0,170.0,174.0,52.0,14.0,25.0,5.0,97.0,41.0,405.0,371.0,83.0,288.0,34.0,16.0,3.0,15.0,0.11702097,6580.01691402,9.0,55.0,2.07546997
Little Italy,135,4,576.0,494.0,21.0,0.0,21.0,0,21.0,19.0,50.0,300.0,276.0,27.0,6.0,2.0,1.0,51.0,169.0,91.0,134.0,95.0,105.0,72.0,17.0,12.0,1.0,21.0,3.0,393.0,322.0,172.0,150.0,71.0,33.0,16.0,22.0,0.05003339,11512.310429,23.0,35.0,1.78882002
Loch Raven,136,5,6163.0,505.0,5422.0,4.0,120.0,0,22.0,90.0,110.0,2557.0,3606.0,347.0,474.0,191.0,216.0,653.0,914.0,701.0,1647.0,1020.0,1401.0,614.0,184.0,125.0,53.0,662.0,322.0,2978.0,2838.0,1143.0,1695.0,140.0,62.0,23.0,55.0,0.57044916,10803.7672261,133.0,92.0,2.10747003
Locust Point,137,1,2138.0,2019.0,27.0,7.0,53.0,1,10.0,21.0,37.0,1081.0,1057.0,117.0,55.0,23.0,30.0,173.0,714.0,319.0,508.0,199.0,461.0,355.0,103.0,39.0,10.0,67.0,18.0,1292.0,1046.0,741.0,305.0,246.0,40.0,127.0,79.0,0.13429989,15919.5955366,209.0,151.0,2.03823995
Locust Point Industrial Area,138,4,642.0,547.0,33.0,1.0,31.0,0,9.0,21.0,23.0,336.0,306.0,69.0,13.0,2.0,3.0,60.0,199.0,121.0,137.0,38.0,159.0,139.0,52.0,12.0,5.0,8.0,1.0,388.0,289.0,230.0,59.0,99.0,20.0,55.0,24.0,0.79815532,804.35471514,565.0,260.0,2.20414996
