rownumber,respondentID,agency_code,activity_year,loan_type,state,county,msa,assessment_area_number,partial_county_indicator,split_county_indicator,nBizLoans,amtBizLoans,nLoansToSmallest,amtLoansToSmallest,nLoansPurchased,amtLoansPurchased
441,1,1,2017,4,24,510,12580.0,171,N,N,529,23159000,375,11680000,7,332000
2329,249,1,2017,4,24,510,12580.0,1,N,N,37,7417000,18,2782000,0,0
2500,1316,1,2017,4,24,510,12580.0,10,N,N,602,36994000,330,8454000,0,0
4185,13044,1,2017,4,24,510,12580.0,1,N,N,1121,31939000,611,8741000,0,0
4789,13688,1,2017,4,24,510,12580.0,29,N,N,9,1114000,6,113000,0,0
5474,16892,1,2017,4,24,510,12580.0,65,N,N,2,7000,2,7000,0,0
6277,24096,1,2017,4,24,510,12580.0,34,N,N,17,379000,14,256000,0,0
8632,501105,2,2017,4,24,510,12580.0,51,N,N,148,29979000,75,7528000,0,0
9188,675332,2,2017,4,24,510,12580.0,6,N,N,152,9897000,84,1524000,0,0
11775,9846,3,2017,4,24,510,12580.0,10,N,N,139,13355000,97,4673000,0,0
14905,27244,3,2017,4,24,510,12580.0,1,N,N,27,9036000,10,4791000,0,0
14981,27599,3,2017,4,24,510,12580.0,1,N,N,2,511000,0,0,0,0
15368,31286,3,2017,4,24,510,12580.0,2,N,N,17,7264000,9,3770000,0,0
15893,57776,3,2017,4,24,510,12580.0,1,N,N,31,9761000,18,5726000,0,0
2728,13044,1,2017,5,24,510,12580.0,1,N,N,2,7000,1,4000,0,0
442,1,1,2016,4,24,510,12580.0,177,N,N,606,24247000,434,11726000,6,250000
2375,249,1,2016,4,24,510,12580.0,1,N,N,35,8468000,13,2621000,0,0
2680,1316,1,2016,4,24,510,12580.0,71,N,N,620,43213000,328,9345000,0,0
4220,13044,1,2016,4,24,510,12580.0,1,N,N,969,21986000,590,6193000,0,0
4824,13688,1,2016,4,24,510,12580.0,26,N,N,29,3624000,8,258000,0,0
5779,16892,1,2016,4,24,510,12580.0,140,N,N,1,3000,1,3000,0,0
6440,24096,1,2016,4,24,510,12580.0,34,N,N,11,265000,3,155000,0,0
8824,501105,2,2016,4,24,510,12580.0,51,N,N,219,55036000,93,14381000,0,0
9367,675332,2,2016,4,24,510,12580.0,6,N,N,160,10016000,94,3723000,0,0
11802,9846,3,2016,4,24,510,12580.0,9,N,N,253,19785000,185,6240000,0,0
14881,24920,3,2016,4,24,510,12580.0,11,N,N,1,200000,0,0,0,0
15015,27244,3,2016,4,24,510,12580.0,1,N,N,28,6662000,10,2781000,0,0
15144,28178,3,2016,4,24,510,12580.0,15,Y,N,1,169000,0,0,0,0
15480,31286,3,2016,4,24,510,12580.0,1,N,N,32,11657000,22,7687000,0,0
15970,57776,3,2016,4,24,510,12580.0,2,N,N,21,5931000,15,3829000,0,0
2761,13044,1,2016,5,24,510,12580.0,1,N,N,2,20000,2,20000,0,0
48296,1,1,2015,4,24,510,12580.0,180,N,N,711,27419000,530,11323000,5,184000
320255,249,1,2015,4,24,510,12580.0,1,N,N,32,8293000,17,3974000,0,0
339486,1316,1,2015,4,24,510,12580.0,84,N,N,559,41005000,317,10383000,0,0
339802,1316,1,2015,5,24,510,12580.0,84,N,N,1,268000,0,0,0,0
587895,13044,1,2015,4,24,510,12580.0,1,N,N,917,21701000,546,6287000,0,0
588609,13044,1,2015,5,24,510,12580.0,1,N,N,1,7000,1,7000,0,0
711872,13688,1,2015,4,24,510,12580.0,25,N,N,16,1778000,10,512000,11,141000
872416,16892,1,2015,4,24,510,12580.0,76,N,N,1,1000,1,1000,0,0
1173133,24096,1,2015,4,24,510,12580.0,36,N,N,8,319000,6,244000,0,0
1822839,718140,1,2015,4,24,510,12580.0,1,N,N,22,3304000,11,2141000,0,0
1972583,501105,2,2015,4,24,510,12580.0,51,N,N,171,42369000,71,9945000,0,0
2051250,675332,2,2015,4,24,510,12580.0,6,N,N,168,13390000,84,3175000,0,0
2401699,9846,3,2015,4,24,510,12580.0,9,N,N,154,13432000,109,2702000,0,0
2784164,24920,3,2015,4,24,510,12580.0,11,N,N,1,250000,1,250000,0,0
2818720,27244,3,2015,4,24,510,12580.0,1,N,N,22,7891000,10,4730000,0,0
2833797,28178,3,2015,4,24,510,12580.0,7,Y,N,2,209000,2,209000,0,0
2871743,31286,3,2015,4,24,510,12580.0,2,N,N,39,14004000,28,9779000,0,0
3083099,57776,3,2015,4,24,510,12580.0,7,N,N,21,8365000,10,2473000,0,0
35385,1,1,2014,4,24,510,12580.0,176,N,N,687,25427000,483,10980000,0,0
36451,1,1,2014,5,24,510,12580.0,176,N,N,2,11000,2,11000,0,0
310803,249,1,2014,4,24,510,12580.0,3,N,N,42,10037000,29,5726000,0,0
329120,1316,1,2014,4,24,510,12580.0,71,N,N,357,40007000,183,9243000,0,0
382332,1461,1,2014,4,24,510,12580.0,1,N,N,330,1345000,218,872000,0,0
570134,13044,1,2014,4,24,510,12580.0,1,N,N,326,21536000,153,5382000,0,0
570802,13044,1,2014,5,24,510,12580.0,1,N,N,1,2000,0,0,0,0
653682,13688,1,2014,4,24,510,12580.0,20,N,N,12,1086000,6,105000,0,0
787019,16892,1,2014,4,24,510,12580.0,70,N,N,2,3000,2,3000,1,90000
1163835,24096,1,2014,4,24,510,12580.0,34,N,N,9,457000,2,28000,0,0
1772267,718140,1,2014,4,24,510,12580.0,1,N,N,17,4756000,7,1045000,0,0
1908715,501105,2,2014,4,24,510,12580.0,51,N,N,201,43679000,91,10309000,0,0
1973433,675332,2,2014,4,24,510,12580.0,57,N,N,143,17556000,77,4899000,1,42000
1994530,682611,2,2014,4,24,510,12580.0,17,N,N,39,8424000,7,399000,0,0
2301715,9846,3,2014,4,24,510,12580.0,7,N,N,118,15396000,68,4266000,0,0
2693062,27244,3,2014,4,24,510,12580.0,1,N,N,14,2758000,5,436000,0,0
2707940,28178,3,2014,4,24,510,12580.0,15,N,N,4,1380000,3,880000,0,0
2739415,31286,3,2014,4,24,510,12580.0,1,N,N,36,11187000,26,7700000,0,0
36966,1,1,2013,4,24,510,12580.0,173,N,N,680,28119000,471,11350000,0,0
332861,1316,1,2013,4,24,510,12580.0,131,N,N,377,50729000,166,10859000,0,0
385836,1461,1,2013,4,24,510,12580.0,1,N,N,382,1941000,227,1305000,0,0
586040,13044,1,2013,4,24,510,12580.0,1,N,N,108,20315000,11,1781000,0,0
667227,13688,1,2013,4,24,510,12580.0,13,N,N,10,1303000,6,260000,0,0
1184506,24096,1,2013,4,24,510,12580.0,73,N,N,7,1205000,5,963000,0,0
1744322,718140,1,2013,4,24,510,12580.0,1,N,N,15,3794000,4,706000,0,0
1876152,501105,2,2013,4,24,510,12580.0,51,N,N,160,26966000,75,6534000,0,0
1935549,675332,2,2013,4,24,510,12580.0,73,N,N,85,9499000,42,3060000,0,0
1955783,682611,2,2013,4,24,510,12580.0,3,N,N,45,11061000,13,3590000,0,0
2251725,9846,3,2013,4,24,510,12580.0,8,N,N,116,23277000,53,4433000,0,0
2623278,27244,3,2013,4,24,510,12580.0,1,N,N,6,1433000,2,245000,0,0
2635786,28178,3,2013,4,24,510,12580.0,10,N,N,8,1733000,7,1564000,0,0
2665040,31286,3,2013,4,24,510,12580.0,2,N,N,36,9213000,18,3727000,0,0
34369,1,1,2012,4,24,510,12580.0,174,N,N,508,24844000,312,9148000,0,0
265074,1316,1,2012,4,24,510,12580.0,129,N,N,301,41522000,130,9689000,0,0
317299,1461,1,2012,4,24,510,12580.0,1,N,N,381,1787000,245,1203000,0,0
522244,13044,1,2012,4,24,510,12580.0,26,N,N,120,16279000,5,1200000,0,0
630611,13688,1,2012,4,24,510,12580.0,13,N,N,20,1295000,1,500000,398,1798000
1273696,24096,1,2012,4,24,510,12580.0,73,N,N,5,595000,3,220000,0,0
1273751,24096,1,2012,5,24,510,12580.0,73,N,N,1,25000,1,25000,0,0
2081895,501105,2,2012,4,24,510,12580.0,51,N,N,121,19644000,44,3745000,0,0
2137985,675332,2,2012,4,24,510,12580.0,73,N,N,79,11817000,28,2025000,0,0
2157283,682611,2,2012,4,24,510,12580.0,3,N,N,26,6129000,8,2399000,0,0
2436619,9846,3,2012,4,24,510,12580.0,8,N,N,53,14562000,28,4723000,0,0
2504499,12433,3,2012,4,24,510,12580.0,1,N,N,10,2206000,4,618000,0,0
2812080,28178,3,2012,4,24,510,12580.0,18,N,N,14,5422000,14,5422000,0,0
2839327,31286,3,2012,4,24,510,12580.0,2,N,N,43,14037000,27,7846000,0,0
37903,1,1,2011,4,24,510,12580.0,131,N,N,579,27560000,334,10961000,0,0
39027,1,1,2011,5,24,510,12580.0,131,N,N,1,10000,1,10000,0,0
239104,1316,1,2011,4,24,510,12580.0,18,N,N,263,46199000,114,8376000,0,0
263560,1461,1,2011,4,24,510,12580.0,1,N,N,4,145000,2,45000,0,0
414724,13044,1,2011,4,24,510,12580.0,1,N,N,99,19041000,6,1173000,0,0
481169,13688,1,2011,4,24,510,12580.0,13,N,N,23,2443000,0,0,0,0
1081453,24096,1,2011,4,24,510,12580.0,73,N,N,2,8000,1,3000,0,0
1081513,24096,1,2011,5,24,510,12580.0,73,N,N,1,25000,1,25000,0,0
1797318,501105,2,2011,4,24,510,12580.0,51,N,N,164,26788000,75,8569000,0,0
1845336,675332,2,2011,4,24,510,12580.0,74,N,N,79,13837000,36,3290000,0,0
1857200,682611,2,2011,4,24,510,12580.0,4,N,N,29,8607000,6,2598000,0,0
2130815,9846,3,2011,4,24,510,12580.0,8,N,N,66,22151000,21,4064000,0,0
2193883,12433,3,2011,4,24,510,12580.0,1,N,N,14,3087000,8,2188000,0,0
2451468,27244,3,2011,4,24,510,12580.0,5,Y,N,2,513000,1,338000,0,0
2462809,28178,3,2011,4,24,510,12580.0,13,N,N,3,1035000,3,1035000,0,0
2487091,31286,3,2011,4,24,510,12580.0,1,N,N,37,11241000,27,7777000,0,0
59084,1,1,2010,4,24,510,12580.0,2401,N,N,330,10151000,213,5753000,0,0
60138,1,1,2010,5,24,510,12580.0,2401,N,N,1,5000,1,5000,0,0
277754,1316,1,2010,4,24,510,12580.0,47,N,N,257,47138000,129,14971000,0,0
300983,1461,1,2010,4,24,510,12580.0,1,N,N,2,100000,2,100000,0,0
449849,13044,1,2010,4,24,510,12580.0,1,N,N,67,21722000,8,2146000,0,0
517646,13688,1,2010,4,24,510,12580.0,13,N,N,7,425000,1,30000,1,372000
1342921,501105,2,2010,4,24,510,12580.0,51,N,N,159,21441000,70,5342000,0,0
1384550,675332,2,2010,4,24,510,12580.0,74,N,N,85,18012000,33,4010000,0,0
1396275,682611,2,2010,4,24,510,12580.0,3,N,N,20,6557000,7,1778000,0,0
1640978,9846,3,2010,4,24,510,12580.0,8,N,N,67,16115000,25,3604000,0,0
1694742,12433,3,2010,4,24,510,12580.0,1,N,N,8,1746000,5,690000,0,0
1952342,27244,3,2010,4,24,510,12580.0,1,Y,N,3,193000,1,28000,0,0
1962717,28178,3,2010,4,24,510,12580.0,19,N,N,8,3065000,8,3065000,0,0
1984406,31286,3,2010,4,24,510,12580.0,1,N,N,43,13336000,27,6664000,0,0
2258340,12090,4,2010,4,24,510,12580.0,2,N,N,8,3209000,1,300000,0,0
9596,1,1,2009,4,24,510,12580.0,110,N,N,155,35061000,55,5966000,0,0
10134,1,1,2009,5,24,510,12580.0,110,N,N,1,200000,0,0,0,0
187346,1316,1,2009,4,24,510,12580.0,129,N,N,240,49816000,124,13335000,0,0
210648,1461,1,2009,4,24,510,12580.0,1,N,N,4,303000,2,103000,0,0
454873,13044,1,2009,4,24,510,12580.0,1,N,N,83,24802000,9,1563000,0,0
516532,13688,1,2009,4,24,510,12580.0,3,N,N,3,676000,0,0,0,0
607582,16892,1,2009,4,24,510,12580.0,34,N,N,1,217000,0,0,0,0
1330012,501105,2,2009,4,24,510,12580.0,51,N,N,159,19674000,82,6915000,0,0
1372513,675332,2,2009,4,24,510,12580.0,73,N,N,106,17863000,56,5728000,0,0
1384632,682611,2,2009,4,24,510,12580.0,9,N,N,44,7835000,18,1857000,0,0
1652721,9846,3,2009,4,24,510,12580.0,6,N,N,79,18080000,41,6601000,0,0
1710331,12433,3,2009,4,24,510,12580.0,1,N,N,9,1209000,5,709000,0,0
1742610,15951,3,2009,4,24,510,12580.0,1,N,N,17,4784000,4,521000,0,0
1976834,27244,3,2009,4,24,510,12580.0,1,Y,N,5,687000,2,37000,0,0
1992565,28178,3,2009,4,24,510,12580.0,19,N,N,9,2059000,9,2059000,0,0
2015209,31263,3,2009,4,24,510,12580.0,1,N,N,11,3399000,7,1149000,0,0
2016048,31286,3,2009,4,24,510,12580.0,4,N,N,48,14272000,31,8683000,0,0
2345325,8145,4,2009,4,24,510,12580.0,6,N,N,5,1075000,3,625000,0,0
2372035,12090,4,2009,4,24,510,12580.0,2,N,N,7,3550000,0,0,0,0
10744,1,1,2008,4,24,510,12580.0,112,N,N,288,51381000,136,7804000,0,0
214520,1316,1,2008,4,24,510,12580.0,30,N,N,186,54759000,82,18912000,0,0
227612,1461,1,2008,4,24,510,12580.0,1,N,N,12,1510000,3,110000,0,0
482884,13044,1,2008,4,24,510,12580.0,19,N,N,123,31610000,18,3143000,0,0
1170495,24096,1,2008,4,24,510,12580.0,4,N,N,3,380000,2,345000,0,0
1484717,501105,2,2008,4,24,510,12580.0,51,N,N,188,36108000,58,5050000,0,0
1529255,675332,2,2008,4,24,510,12580.0,73,N,N,196,24243000,112,10453000,0,0
1541772,682611,2,2008,4,24,510,12580.0,1,N,N,64,11711000,27,3727000,0,0
1869341,9846,3,2008,4,24,510,12580.0,6,N,N,84,20327000,42,6560000,0,0
1913612,12433,3,2008,4,24,510,12580.0,1,N,N,17,3591000,10,2742000,0,0
1944939,15951,3,2008,4,24,510,12580.0,1,N,N,60,17838000,15,1355000,0,0
2188941,27244,3,2008,4,24,510,12580.0,1,Y,N,1,25000,1,25000,0,0
2206828,28178,3,2008,4,24,510,12580.0,19,N,N,33,6878000,29,5638000,0,0
2229799,31263,3,2008,4,24,510,12580.0,1,N,N,15,4372000,11,3892000,0,0
2230641,31286,3,2008,4,24,510,12580.0,1,N,N,39,12860000,27,9614000,0,0
2730041,8145,4,2008,4,24,510,12580.0,4,N,N,13,2008000,7,605000,0,0
2754974,12090,4,2008,4,24,510,12580.0,1,N,N,7,3747000,3,1240000,0,0
11348,1,1,2007,4,24,510,12580.0,109,N,N,362,59267000,189,13154000,0,0
187420,336,1,2007,4,24,510,12580.0,3,N,N,3,1259000,0,0,0,0
219754,1316,1,2007,4,24,510,12580.0,5,N,N,216,55318000,96,18295000,0,0
233650,1461,1,2007,4,24,510,12580.0,1,N,N,10,1132000,8,402000,0,0
510006,13044,1,2007,4,24,510,12580.0,19,N,N,179,34350000,45,3275000,0,0
511011,13044,1,2007,5,24,510,12580.0,19,N,N,1,20000,1,20000,0,0
1372204,501105,2,2007,4,24,510,12580.0,51,N,N,230,54189000,68,7494000,0,0
1425998,675332,2,2007,4,24,510,12580.0,71,N,N,260,23254000,159,10137000,0,0
1477731,818625,2,2007,4,24,510,12580.0,1,N,N,68,14711000,30,4772000,0,0
1746295,9846,3,2007,4,24,510,12580.0,6,N,N,105,21991000,42,8916000,0,0
1791640,12433,3,2007,4,24,510,12580.0,1,N,N,12,1752000,5,747000,0,0
1824918,15951,3,2007,4,24,510,12580.0,1,N,N,56,16635000,19,3225000,0,0
2100794,28178,3,2007,4,24,510,12580.0,19,N,N,12,3655000,11,3565000,0,0
2126542,31263,3,2007,4,24,510,12580.0,1,N,N,27,7123000,15,3875000,0,0
2127338,31286,3,2007,4,24,510,12580.0,1,N,N,53,16065000,34,9644000,0,0
2616436,8145,4,2007,4,24,510,12580.0,4,N,N,21,4304000,8,555000,0,0
10943,1,1,2006,4,24,510,12580.0,78,N,N,326,61808000,134,14679000,0,0
158475,336,1,2006,4,24,510,12580.0,13,N,N,5,1062000,2,35000,0,0
203006,1461,1,2006,4,24,510,12580.0,1,N,N,2,40000,2,40000,0,0
467484,13044,1,2006,4,24,510,12580.0,19,N,N,228,38894000,72,6343000,0,0
1484620,501105,2,2006,4,24,510,12580.0,51,N,N,257,50646000,82,6902000,0,0
1538271,675332,2,2006,4,24,510,12580.0,72,N,N,254,25438000,151,9934000,0,0
1584629,818625,2,2006,4,24,510,12580.0,1,N,N,57,12462000,27,5780000,0,0
1821598,9846,3,2006,4,24,510,12580.0,5,N,N,96,25188000,41,7767000,0,0
1821965,9846,3,2006,5,24,510,12580.0,5,N,N,2,304000,1,79000,0,0
1869147,12433,3,2006,4,24,510,12580.0,1,N,N,14,2022000,8,1117000,0,0
1900225,15951,3,2006,4,24,510,12580.0,1,N,N,73,23186000,22,4521000,0,0
2022741,20347,3,2006,4,24,510,12580.0,1,N,N,184,53257000,66,12346000,0,0
2170494,27244,3,2006,4,24,510,12580.0,1,Y,N,1,50000,0,0,0,0
2194795,28178,3,2006,4,24,510,12580.0,19,N,N,1,21000,0,0,0,0
2219115,31263,3,2006,4,24,510,12580.0,1,N,N,18,4842000,12,2997000,0,0
2219955,31286,3,2006,4,24,510,12580.0,1,N,N,46,12374000,31,8469000,0,0
2599394,8145,4,2006,4,24,510,12580.0,4,N,N,7,1653000,0,0,0,0
10298,1,1,2005,4,24,510,12580.0,13,N,N,252,48729000,92,12807000,0,0
10876,1,1,2005,5,24,510,12580.0,13,N,N,2,275000,0,0,0,0
173012,336,1,2005,4,24,510,12580.0,1,N,N,6,855000,4,310000,0,0
460041,13044,1,2005,4,24,510,12580.0,19,N,N,305,49903000,121,11712000,0,0
1353792,501105,2,2005,4,24,510,12580.0,51,N,N,266,45697000,96,6814000,0,0
1407004,675332,2,2005,4,24,510,12580.0,71,N,N,212,17682000,128,6294000,0,0
1655370,9846,3,2005,4,24,510,12580.0,5,N,N,108,24085000,37,5497000,0,0
1655723,9846,3,2005,5,24,510,12580.0,5,N,N,1,105000,1,105000,0,0
1704000,12433,3,2005,4,24,510,12580.0,1,Y,N,25,3336000,17,1606000,0,0
1736501,15951,3,2005,4,24,510,12580.0,1,N,N,72,20843000,21,2515000,0,0
1866837,20347,3,2005,4,24,510,12580.0,1,N,N,181,51677000,61,15599000,0,0
2000243,27244,3,2005,4,24,510,12580.0,1,Y,N,1,30000,1,30000,0,0
2049890,31286,3,2005,4,24,510,12580.0,1,N,N,47,14090000,35,9915000,0,0
2302506,1235,4,2005,4,24,510,12580.0,1,N,N,11,1090000,1,25000,0,0
2426956,8145,4,2005,4,24,510,12580.0,6,N,N,4,1225000,0,0,0,0
9310,1,1,2004,4,24,510,12580.0,4001,N,N,334,46441000,66,10961000,0,0
9672,1,1,2004,5,24,510,12580.0,4001,N,N,1,50000,0,0,0,0
226127,336,1,2004,4,24,510,12580.0,5,N,N,4,160000,1,50000,0,0
548101,13044,1,2004,4,24,510,12580.0,19,N,N,256,41577000,118,9887000,0,0
1514464,501105,2,2004,4,24,510,12580.0,51,N,N,324,54767000,132,9948000,0,0
1571992,675332,2,2004,4,24,510,12580.0,53,N,N,206,19952000,140,9307000,0,0
1884358,9846,3,2004,4,24,510,12580.0,5,N,N,99,21706000,36,6227000,0,0
1952672,12433,3,2004,4,24,510,12580.0,1,N,N,41,7690000,23,2911000,0,0
2005772,15951,3,2004,4,24,510,12580.0,1,N,N,85,18046000,31,3211000,0,0
2190489,20347,3,2004,4,24,510,12580.0,1,N,N,197,57726000,86,15981000,0,0
2511035,29973,3,2004,4,24,510,12580.0,1,N,N,42,6379000,25,3879000,0,0
2524187,31263,3,2004,4,24,510,12580.0,1,N,N,21,3497000,12,1850000,0,0
2524967,31286,3,2004,4,24,510,12580.0,1001,N,N,44,13382000,25,6251000,0,0
2931052,1235,4,2004,4,24,510,12580.0,1,N,N,8,339000,2,36000,0,0
3078662,8145,4,2004,4,24,510,12580.0,4,N,N,5,2075000,0,0,0,0
